,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
73,TROW,"T. Rowe Price Group, Inc.",25.70B,-0.04%,4317647,6.46B
74,RJF,"Raymond James Financial, Inc.",25.24B,0.63%,773252,11.85B
75,IX,ORIX Corporation,24.81B,1.40%,12218,19.11B
76,OWL,Blue Owl Capital Inc.,24.73B,-0.17%,2076143,1.73B
77,RKT,"Rocket Companies, Inc.",24.46B,-,2583245,3.80B
78,FITB,Fifth Third Bancorp,24.28B,-0.51%,17420385,8.19B
79,BRO,"Brown & Brown, Inc.",24.28B,-0.06%,1872271,4.26B
80,MTB,M&T Bank Corporation,23.38B,0.14%,930187,9.00B
81,TW,Tradeweb Markets Inc.,22.64B,-0.45%,583925,1.34B
82,KB,KB Financial Group Inc.,22.32B,-1.28%,181362,3.19B
83,FCNCO,"First Citizens BancShares, Inc.",22.28B,1.17%,13841,17.41B
84,FCNCA,"First Citizens BancShares, Inc.",22.08B,0.78%,92649,17.41B
85,WRB,W. R. Berkley Corporation,21.94B,0.33%,2378600,12.14B
86,STT,State Street Corporation,21.85B,0.89%,1538872,11.95B
87,ERIE,Erie Indemnity Company,21.41B,1.98%,280031,3.27B
88,SHG,"Shinhan Financial Group Co., Ltd.",19.84B,-0.95%,145605,7.06B
89,LPLA,LPL Financial Holdings Inc.,19.76B,1.59%,478727,10.05B
90,MKL,Markel Corporation,19.75B,1.12%,33687,15.80B
91,CBOE,"Cboe Global Markets, Inc.",19.38B,1.32%,1391765,3.77B
92,HBAN,Huntington Bancshares Incorporated,19.01B,1.12%,49444813,6.96B
93,PFG,"Principal Financial Group, Inc.",18.99B,2.53%,6083514,13.67B
94,CINF,Cincinnati Financial Corporation,18.91B,0.08%,5962215,10.01B
95,NMR,"Nomura Holdings, Inc.",18.53B,0.82%,2889837,10.09B
96,FDS,FactSet Research Systems Inc.,18.24B,-0.61%,157447,2.12B
97,RF,Regions Financial Corporation,17.51B,0.85%,9258428,7.02B
98,SYF,Synchrony Financial,17.05B,-3.40%,3669042,7.66B
99,EG,"Everest Group, Ltd.",16.96B,1.17%,279194,14.59B
100,L,Loews Corporation,16.89B,1.26%,918553,15.90B
101,NTRS,Northern Trust Corporation,16.37B,1.51%,7481244,6.75B
102,TPG,TPG Inc.,16.18B,-0.56%,1781515,2.39B
103,CG,The Carlyle Group Inc.,16.15B,-1.26%,3807727,2.96B
104,BAM,Brookfield Asset Management Inc.,16.15B,-0.63%,1008455,4.01B
105,CRBG,"Corebridge Financial, Inc.",15.88B,-0.35%,4472443,18.88B
106,CFG,"Citizens Financial Group, Inc.",15.28B,1.00%,4695882,7.54B
107,RYAN,"Ryan Specialty Holdings, Inc.",14.36B,0.60%,851576,2.08B
108,BEN,"Franklin Resources, Inc.",14.24B,-0.52%,2721385,7.87B
109,XP,XP Inc.,13.79B,0.36%,6330977,3.05B
110,BAP,Credicorp Ltd.,13.72B,0.33%,222884,3.90B
111,FNF,"Fidelity National Financial, Inc.",13.56B,-0.75%,1245353,11.75B
112,KEY,KeyCorp,13.52B,0.42%,12938146,5.89B
113,MORN,"Morningstar, Inc.",13.22B,-1.67%,309626,2.04B
114,RNR,RenaissanceRe Holdings Ltd.,12.53B,-0.18%,286595,9.13B
115,ARCC,Ares Capital Corporation,12.25B,1.00%,3750648,2.61B
116,RGA,"Reinsurance Group of America, Incorporated",12.18B,0.60%,738172,18.57B
117,BCH,Banco de Chile,12.01B,-1.56%,257439,3.21B
118,CNA,CNA Financial Corporation,12.00B,0.43%,112476,13.30B
119,KNSL,"Kinsale Capital Group, Inc.",11.92B,2.02%,110763,1.22B
120,EQH,"Equitable Holdings, Inc.",11.61B,-0.17%,1677495,10.53B
121,ALLY,Ally Financial Inc.,11.41B,0.08%,3847634,8.21B
122,AFG,"American Financial Group, Inc.",11.00B,0.73%,257475,7.83B
123,GL,Globe Life Inc.,10.87B,0.03%,1554209,5.45B
124,UWMC,UWM Holdings Corporation,10.74B,0.45%,796018,1.31B
125,EWBC,"East West Bancorp, Inc.",10.44B,0.83%,8901035,2.48B
126,AEG,Aegon N.V.,10.33B,-0.52%,1843248,-11.08B
127,UNM,Unum Group,9.98B,0.89%,1385249,12.39B
128,BSAC,Banco Santander-Chile,9.60B,-0.74%,434338,2.19B
129,AIZ,"Assurant, Inc.",9.42B,0.75%,371057,11.13B
130,JEF,Jefferies Financial Group Inc.,9.27B,-0.62%,735975,4.70B
131,SEIC,SEI Investments Company,9.08B,-0.68%,832142,1.92B
132,WF,Woori Financial Group Inc.,8.88B,1.25%,30436,8.25B
133,HLI,"Houlihan Lokey, Inc.",8.62B,0.15%,231269,1.84B
134,PRI,"Primerica, Inc.",8.56B,0.55%,257433,2.82B
135,WBS,Webster Financial Corporation,8.25B,-0.15%,1651777,2.50B
136,MKTX,MarketAxess Holdings Inc.,8.20B,0.84%,868626,752.55M
137,FHN,First Horizon Corporation,8.15B,-,6490936,3.21B
138,ORI,Old Republic International Corporation,8.15B,0.51%,1498781,7.26B
139,CIB,Bancolombia S.A.,7.86B,-0.28%,556620,4.25B
140,FUTU,Futu Holdings Limited,7.57B,-3.81%,2511155,1.28B
141,SF,Stifel Financial Corp.,7.56B,0.69%,1303191,4.35B
142,EVR,Evercore Inc.,7.35B,-0.37%,288125,2.43B
143,VOYA,"Voya Financial, Inc.",7.09B,0.57%,986751,7.35B
144,IVZ,Invesco Ltd.,6.91B,0.26%,2867447,5.72B
145,SOFI,"SoFi Technologies, Inc.",6.87B,-0.28%,51936591,2.12B
