,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
356,ETWO,"E2open Parent Holdings, Inc.",1.25B,0.25%,2362912,642.37M
357,FORTY,Formula Systems (1985) Ltd.,1.19B,4.00%,160,2.64B
358,ADEA,Adeia Inc.,1.17B,2.58%,1488018,388.79M
359,SGH,"SMART Global Holdings, Inc.",1.16B,-2.25%,3875226,1.25B
360,PAR,PAR Technology Corporation,1.16B,-1.40%,195018,415.82M
361,PUBM,"PubMatic, Inc.",1.15B,-2.88%,835102,267.01M
362,CRCT,"Cricut, Inc.",1.14B,3.54%,1343363,765.15M
363,TUYA,Tuya Inc.,1.11B,3.19%,242853,229.99M
364,IMOS,ChipMOS TECHNOLOGIES INC.,1.10B,-,7850,766.03M
365,ICHR,"Ichor Holdings, Ltd.",1.10B,0.05%,915002,811.12M
366,TASK,"TaskUs, Inc.",1.09B,2.24%,223231,924.37M
367,BHE,"Benchmark Electronics, Inc.",1.07B,-0.13%,564741,2.84B
368,DGII,Digi International Inc.,1.06B,-0.10%,267704,441.63M
369,SCSC,"ScanSource, Inc.",1.06B,-0.10%,913724,3.59B
370,IE,Ivanhoe Electric Inc.,1.06B,5.59%,886680,3.90M
371,INFN,Infinera Corporation,1.05B,0.44%,3977032,1.65B
372,RPAY,Repay Holdings Corporation,1.03B,-1.21%,657859,296.63M
373,INDI,"indie Semiconductor, Inc.",1.02B,-2.52%,4595728,223.17M
374,ATEN,"A10 Networks, Inc.",1.02B,-5.93%,1554771,251.70M
375,MODN,"Model N, Inc.",992.20M,1.64%,167208,253.80M
376,HIMX,"Himax Technologies, Inc.",973.15M,-1.07%,1797814,945.43M
377,GB,Global Blue Group Holding AG,968.94M,0.62%,7893,448.71M
378,NYAX,Nayax Ltd.,938.24M,-,12892,235.49M
379,GDYN,"Grid Dynamics Holdings, Inc.",935.24M,2.20%,366483,312.91M
380,VMEO,"Vimeo, Inc.",904.08M,0.56%,3887630,417.21M
381,RSKD,Riskified Ltd.,902.36M,-1.18%,494484,297.61M
382,BTDR,Bitdeer Technologies Group,895.74M,23.84%,4252754,-
383,OLO,Olo Inc.,869.38M,-1.29%,703775,228.29M
384,RDWR,Radware Ltd.,857.00M,-4.07%,2645166,261.29M
385,NVTS,Navitas Semiconductor Corporation,840.70M,-1.92%,7184390,79.46M
386,ENFN,"Enfusion, Inc.",832.21M,0.43%,591348,174.54M
387,SSYS,Stratasys Ltd.,818.87M,1.36%,712468,627.60M
388,WEAV,"Weave Communications, Inc.",816.40M,-2.68%,244151,170.47M
389,PSFE,Paysafe Limited,815.05M,0.61%,475382,1.60B
390,TWKS,"Thoughtworks Holding, Inc.",797.15M,-0.40%,1091758,1.13B
391,WALD,Waldencast plc,789.83M,-,661471,166.13M
392,KARO,Karooooo Ltd.,775.63M,-0.40%,1382,215.12M
393,KC,Kingsoft Cloud Holdings Limited,766.86M,-2.85%,1008245,1.03B
394,WKME,WalkMe Ltd.,758.92M,0.58%,164721,266.95M
395,YALA,Yalla Group Limited,748.38M,0.83%,551664,318.88M
396,BELFB,Bel Fuse Inc.,741.31M,-0.62%,126956,639.81M
397,BELFA,Bel Fuse Inc.,739.73M,0.55%,16619,639.81M
398,IIIV,"i3 Verticals, Inc.",734.20M,-,275607,376.20M
399,PGY,Pagaya Technologies Ltd.,727.42M,-,55921,812.05M
400,CNDT,Conduent Incorporated,697.12M,2.50%,2060775,3.72B
401,IMXI,"International Money Express, Inc.",692.53M,2.29%,369129,658.74M
402,NNDM,Nano Dimension Ltd.,683.20M,3.58%,2258256,53.96M
403,HKD,AMTD Digital Inc.,680.65M,0.85%,163824,33.07M
404,HCKT,"The Hackett Group, Inc.",667.30M,0.42%,155236,296.59M
405,YEXT,"Yext, Inc.",666.17M,-2.71%,1540734,404.32M
406,ML,MoneyLion Inc.,663.59M,-2.92%,189681,423.43M
407,DSP,Viant Technology Inc.,623.13M,-3.59%,239776,222.93M
408,AOSL,Alpha and Omega Semiconductor Limited,611.94M,-0.42%,232684,640.00M
409,CRNC,Cerence Inc.,609.28M,1.23%,1293302,349.15M
410,DDD,3D Systems Corporation,607.97M,1.11%,1348201,505.95M
411,CORZ,"Core Scientific, Inc.",607.40M,12.13%,7904566,502.40M
412,MGIC,Magic Software Enterprises Ltd.,596.54M,1.35%,105162,535.05M
413,CINT,CI&T Inc,587.66M,-4.33%,33819,458.62M
414,LASR,"nLIGHT, Inc.",585.44M,0.24%,274256,209.92M
415,BLND,"Blend Labs, Inc.",583.27M,19.57%,4671238,156.85M
416,MTTR,"Matterport, Inc.",578.29M,-4.84%,10187933,157.75M
417,SNPO,Snap One Holdings Corp.,575.94M,-3.11%,126093,1.06B
418,ICG,Intchains Group Limited,568.55M,0.16%,57,11.43M
419,SCWX,SecureWorks Corp.,567.62M,0.63%,91487,392.06M
420,EB,"Eventbrite, Inc.",560.27M,-1.08%,1936740,326.13M
421,BIGC,"BigCommerce Holdings, Inc.",550.75M,-1.11%,882742,309.39M
422,DMRC,Digimarc Corporation,549.93M,-2.52%,340572,34.85M
423,SMRT,"SmartRent, Inc.",548.41M,0.37%,2133273,236.84M
424,CEVA,"CEVA, Inc.",547.59M,-0.22%,528658,97.42M
425,ITRN,Ituran Location and Control Ltd.,546.48M,1.07%,146498,319.98M
426,MITK,"Mitek Systems, Inc.",543.43M,-1.76%,409987,172.32M
427,MLAB,"Mesa Laboratories, Inc.",538.60M,1.23%,48719,212.87M
428,CGNT,Cognyte Software Ltd.,536.25M,-0.65%,464788,302.97M
429,BBAI,"BigBear.ai Holdings, Inc.",535.42M,-,22505367,154.96M
430,ALNT,Allient Inc.,528.83M,3.33%,83398,578.63M
431,DJCO,Daily Journal Corporation,516.45M,-1.51%,26106,71.40M
432,NOVA,Sunnova Energy International Inc.,514.43M,6.43%,14941648,720.65M
433,AAOI,"Applied Optoelectronics, Inc.",496.46M,-1.70%,1526840,217.65M
434,BAND,Bandwidth Inc.,493.90M,-2.61%,446108,601.12M
435,NRDY,"Nerdy, Inc.",493.35M,5.28%,3188367,193.40M
436,TTEC,"TTEC Holdings, Inc.",493.25M,5.58%,836932,2.46B
437,XPER,Xperi Holding Corporation,480.34M,0.93%,332370,521.33M
438,VNET,"VNET Group, Inc.",479.98M,-6.74%,4758748,1.02B
439,TSAT,Telesat Corporation,475.39M,5.11%,35599,551.81M
440,SPWR,SunPower Corporation,468.21M,5.99%,8630485,1.83B
441,SKYT,"SkyWater Technology, Inc.",467.46M,-1.97%,516377,272.62M
442,VPG,"Vishay Precision Group, Inc.",457.41M,-2.08%,68362,355.05M
443,CTLP,"Cantaloupe, Inc.",449.16M,0.33%,502080,252.57M
444,MEI,"Methode Electronics, Inc.",443.09M,-,1094212,1.14B
445,RDZN,"Roadzen, Inc.",442.81M,-0.46%,593,-
446,AVNW,"Aviat Networks, Inc.",441.29M,-1.62%,114593,357.26M
447,ADTN,"ADTRAN Holdings, Inc.",438.35M,2.39%,1757259,1.28B
448,MTC,"MMTec, Inc.",438.12M,38.36%,397852,3.22M
449,NTGR,"NETGEAR, Inc.",432.76M,0.17%,271032,740.84M
450,DAVE,Dave Inc.,431.06M,-2.81%,97925,259.09M
451,CLFD,"Clearfield, Inc.",425.02M,2.56%,283180,217.01M
452,LAW,"CS Disco, Inc.",420.71M,8.71%,387280,138.09M
453,LYTS,LSI Industries Inc.,415.71M,0.49%,132094,473.55M
454,BLZE,"Backblaze, Inc.",412.65M,-4.74%,505814,96.21M
455,DAKT,"Daktronics, Inc.",411.82M,-0.54%,719545,812.07M
456,AEHR,Aehr Test Systems,410.24M,-1.93%,1020335,81.53M
457,MVIS,"MicroVision, Inc.",405.18M,-7.71%,6302761,7.26M
458,AUDC,AudioCodes Ltd.,401.13M,-2.80%,46132,244.38M
459,NVEC,NVE Corporation,399.63M,-1.03%,33155,35.52M
460,FARO,"FARO Technologies, Inc.",383.18M,-0.45%,1198276,358.83M
461,AMSWA,"American Software, Inc.",368.74M,-0.27%,289440,110.31M
462,OSPN,OneSpan Inc.,365.05M,6.83%,3612353,235.11M
463,NUKK,Nukkleus Inc.,363.61M,-14.31%,364678,26.73M
464,COMM,"CommScope Holding Company, Inc.",352.16M,3.42%,10354267,5.79B
465,PRCH,"Porch Group, Inc.",346.16M,-7.96%,2015967,430.30M
466,DOMO,"Domo, Inc.",344.94M,1.29%,399821,318.43M
467,EGHT,"8x8, Inc.",338.80M,-0.73%,4417882,733.82M
468,RXT,"Rackspace Technology, Inc.",338.03M,-3.05%,6225223,2.96B
469,UIS,Unisys Corporation,332.48M,-,468949,2.02B
470,GPRO,"GoPro, Inc.",329.77M,3.74%,3468135,1.01B
471,QBTS,D-Wave Quantum Inc.,329.45M,0.97%,3175812,8.25M
472,FRGE,"Forge Global Holdings, Inc.",317.24M,3.87%,379878,67.58M
473,GILT,Gilat Satellite Networks Ltd.,315.36M,0.36%,78087,266.09M
474,TGAN,"Transphorm, Inc.",310.05M,0.41%,252451,18.76M
475,APPS,"Digital Turbine, Inc.",305.55M,5.71%,18886898,572.38M
476,PERF,Perfect Corp.,302.09M,-1.92%,52924,53.51M
477,WBX,Wallbox N.V.,300.00M,3.50%,521682,158.67M
478,CAN,Canaan Inc.,297.60M,5.51%,18754285,211.48M
479,CLMB,"Climb Global Solutions, Inc.",296.89M,2.58%,19378,352.01M
480,MTLS,Materialise NV,296.81M,-1.00%,103828,308.81M
481,STEM,"Stem, Inc.",291.88M,3.93%,5497492,461.52M
482,RGTI,"Rigetti Computing, Inc.",290.36M,-0.76%,6880566,12.01M
483,RMNI,"Rimini Street, Inc.",283.13M,-0.63%,404233,431.50M
484,OPFI,OppFi Inc.,277.20M,-,210692,255.89M
485,ONTF,"ON24, Inc.",275.59M,1.83%,258454,163.71M
486,IBEX,IBEX Limited,274.12M,-0.38%,100257,513.10M
487,HEAR,Turtle Beach Corporation,271.30M,10.47%,2328799,258.12M
488,IMMR,Immersion Corporation,265.33M,0.48%,965189,33.92M
489,TRAK,"Park City Group, Inc.",261.85M,-0.21%,46381,19.81M
490,CRNT,Ceragon Networks Ltd.,259.08M,-,478898,347.18M
491,PRTH,"Priority Technology Holdings, Inc.",253.91M,6.69%,151720,755.61M
492,MIXT,MiX Telematics Limited,253.65M,-1.74%,209031,150.06M
493,RDVT,"Red Violet, Inc.",251.77M,0.67%,41999,60.20M
494,CCSI,"Consensus Cloud Solutions, Inc.",249.16M,5.32%,3341558,362.56M
495,QUIK,QuickLogic Corporation,248.62M,0.97%,397435,17.80M
496,AISP,"Airship AI Holdings, Inc.",245.23M,8.26%,4694384,22.64M
497,AIP,"Arteris, Inc.",243.37M,0.78%,227641,53.67M
498,KOPN,Kopin Corporation,242.00M,-13.24%,3539387,40.39M
499,API,"Agora, Inc.",231.42M,-,123241,141.54M
500,LSAK,"Lesaka Technologies, Inc.",227.71M,-0.54%,11262,547.10M
501,NOTE,"FiscalNote Holdings, Inc.",220.95M,2.94%,1245026,132.65M
502,OPTX,"Syntec Optics Holdings, Inc.",220.13M,-7.69%,67007,42.42M
503,TLS,Telos Corporation,219.31M,25.71%,1716911,145.38M
504,MX,Magnachip Semiconductor Corporation,213.50M,4.12%,1172856,230.05M
505,ASUR,"Asure Software, Inc.",209.86M,-0.24%,298540,119.08M
506,VLN,Valens Semiconductor Ltd.,209.37M,-1.51%,166883,84.16M
507,DM,"Desktop Metal, Inc.",209.16M,5.78%,8009825,189.70M
508,EGAN,eGain Corporation,201.26M,1.57%,129220,95.64M
509,ITI,"Iteris, Inc.",200.96M,2.13%,441663,171.68M
510,AXTI,"AXT, Inc.",199.45M,6.56%,1726301,82.16M
511,ATGL,Alpha Technology Group Limited,198.11M,-7.30%,4794,1.11M
512,TCX,Tucows Inc.,196.75M,-0.39%,54602,331.29M
513,OUST,"Ouster, Inc.",196.14M,1.90%,768096,69.77M
514,CSPI,CSP Inc.,191.63M,3.05%,75632,61.68M
515,SSTI,SoundThinking Inc,191.45M,-1.94%,133870,87.67M
516,KLTR,"Kaltura, Inc.",190.53M,0.38%,412259,175.17M
517,III,"Information Services Group, Inc.",188.99M,3.58%,273216,291.05M
518,BKSY,BlackSky Technology Inc.,188.54M,-4.55%,951183,78.40M
519,VOXX,VOXX International Corporation,182.14M,-0.87%,104460,497.35M
520,INOD,Innodata Inc.,181.14M,1.45%,270309,86.78M
521,REKR,"Rekor Systems, Inc.",176.41M,-1.44%,1430585,28.42M
522,INVE,"Identiv, Inc.",176.13M,-1.84%,126615,116.38M
523,MRAM,"Everspin Technologies, Inc.",173.20M,-0.61%,177514,63.77M
524,EXFY,"Expensify, Inc.",172.97M,-1.97%,765863,150.69M
525,SATL,Satellogic Inc.,166.02M,2.23%,8820,6.81M
526,MAXN,"Maxeon Solar Technologies, Ltd.",165.79M,8.72%,2558158,1.22B
527,ATOM,Atomera Incorporated,163.41M,-,150946,550.00K
528,TROO,"TROOPS, Inc.",162.66M,6.29%,7472,3.88M
529,SANG,Sangoma Technologies Corporation,158.30M,-,4060,189.28M
530,PXLW,"Pixelworks, Inc.",158.07M,4.14%,338649,59.68M
531,MKFG,Markforged Holding Corporation,153.28M,-2.82%,353135,99.28M
532,PAYS,"PaySign, Inc.",152.46M,7.27%,253245,44.20M
533,YIBO,Planet Image International Limited,150.65M,0.94%,6038,142.13M
534,LUNA,Luna Innovations Incorporated,144.69M,6.71%,1103396,116.61M
535,AIXI,Xiao-I Corporation,144.09M,3.09%,262989,61.80M
536,VERI,"Veritone, Inc.",144.06M,42.12%,13291171,137.25M
537,ARBE,Arbe Robotics Ltd.,142.61M,5.75%,67224,1.47M
538,MAPS,"WM Technology, Inc.",142.21M,7.34%,392498,195.87M
539,VCSA,"Vacasa, Inc.",141.03M,0.32%,92167,1.12B
540,PWFL,"PowerFleet, Inc.",140.30M,-3.71%,901053,132.20M
541,INTT,inTEST Corporation,138.68M,0.18%,116454,129.55M
542,ZFOX,"ZeroFox Holdings, Inc.",138.35M,1.80%,123818,-
543,,Nano Labs Ltd,136.10M,0.77%,14978,655.30M
544,GMM,Global Mofy Metaverse Limited,135.46M,-2.00%,1020025,26.89M
545,LTRX,"Lantronix, Inc.",130.79M,-1.43%,337952,137.96M
546,CMTL,Comtech Telecommunications Corp.,130.69M,0.88%,1164877,570.77M
547,ALOT,"AstroNova, Inc.",128.74M,-0.17%,6529,148.35M
548,PSQH,"PSQ Holdings, Inc.",128.45M,-0.21%,106478,5.69M
549,ARQQ,Arqit Quantum Inc.,127.16M,0.13%,754023,640.00K
550,WRAP,"Wrap Technologies, Inc.",126.89M,2.50%,462790,9.13M
551,UEIC,Universal Electronics Inc.,122.42M,4.17%,148074,445.62M
552,PXDT,"Pixie Dust Technologies, Inc.",121.00M,0.76%,7199,5.67M
553,BMR,Beamr Imaging Ltd.,120.84M,-1.72%,7505352,2.91M
554,ALAR,Alarum Technologies Ltd.,118.73M,-10.72%,237376,26.52M
555,CMBM,Cambium Networks Corporation,118.02M,3.77%,160449,264.50M
556,RELL,"Richardson Electronics, Ltd.",116.80M,2.69%,155531,225.91M
557,MYNA,Mynaric AG,109.46M,6.38%,2019,4.70M
558,MPTI,"M-tron Industries, Inc.",107.61M,3.47%,30017,39.07M
559,SOL,Emeren Group Ltd,107.12M,-0.54%,956618,86.34M
560,LDTC,LeddarTech Holdings Inc.,105.88M,-1.60%,39156,6.16M
561,SILC,Silicom Ltd.,105.20M,3.25%,42527,124.13M
562,OCFT,"OneConnect Financial Technology Co., Ltd.",104.83M,8.56%,48872,548.19M
563,FEIM,"Frequency Electronics, Inc.",102.72M,-10.17%,225264,49.61M
564,XBP,XBP Europe Holdings Inc,101.10M,-20.36%,208851,220.74M
565,RSSS,"Research Solutions, Inc.",100.47M,5.48%,96180,40.68M
566,AEYE,"AudioEye, Inc.",99.12M,5.04%,111357,31.32M
567,ZENV,Zenvia Inc.,97.94M,-6.31%,84822,153.40M
568,SNCR,"Synchronoss Technologies, Inc.",97.07M,-1.92%,72990,234.70M
569,BEEM,Beam Global,96.36M,-0.57%,78438,55.22M
570,SYT,"SYLA Technologies Co., Ltd.",96.23M,-4.70%,429,150.99M
571,GSIT,"GSI Technology, Inc.",95.62M,2.38%,174882,22.00M
572,FEBO,Fenbo Holdings Limited,95.48M,-1.36%,8276,15.31M
573,IZM,ICZOOM Group Inc.,94.58M,-1.77%,347896,214.41M
574,CCRD,CoreCard Corporation,93.74M,2.73%,61981,56.00M
575,VLD,"Velo3D, Inc.",93.19M,17.33%,12744325,105.54M
576,KVHI,"KVH Industries, Inc.",91.58M,2.64%,156986,132.38M
577,VUZI,Vuzix Corporation,89.64M,8.20%,975719,13.96M
578,SURG,"SurgePays, Inc.",88.60M,1.09%,577051,137.14M
579,LPSN,"LivePerson, Inc.",86.38M,4.05%,3398516,401.98M
580,RYDE,Ryde Group Ltd,85.33M,-6.96%,401543,6.58M
581,ALLT,Allot Ltd.,85.31M,-1.33%,36755,93.15M
582,QUBT,"Quantum Computing, Inc.",83.36M,-2.63%,1947569,284.43K
583,PHUN,"Phunware, Inc.",83.36M,20.75%,1895866,4.83M
584,AUID,authID Inc.,83.07M,-9.10%,31282,384.32K
585,BCOV,Brightcove Inc.,82.60M,-,387603,201.19M
586,PET,Wag! Group Co.,82.02M,-1.92%,39970,79.28M
587,GNSS,Genasys Inc.,78.81M,2.23%,47256,40.54M
588,SOTK,Sono-Tek Corporation,76.52M,1.25%,7391,18.59M
589,SSNT,"SilverSun Technologies, Inc.",76.38M,3.21%,54611,54.52M
590,OSS,"One Stop Systems, Inc.",75.82M,5.98%,67794,65.99M
591,RTC,Baijiayun Group Ltd,75.41M,3.74%,261957,10.14M
592,LINK,"Interlink Electronics, Inc.",73.42M,3.46%,2385,12.01M
593,SELX,Semilux International Ltd.,71.99M,11.04%,330965,3.89M
594,BKKT,"Bakkt Holdings, Inc.",71.68M,9.07%,7100687,580.99M
595,ZEPP,Zepp Health Corporation,70.19M,1.74%,48846,408.16M
596,ELTK,Eltek Ltd.,69.75M,1.54%,80330,46.70M
597,MKTW,"MarketWise, Inc.",69.24M,1.06%,152474,-
598,UPLD,"Upland Software, Inc.",68.68M,0.42%,117579,297.85M
599,WFCF,"Where Food Comes From, Inc.",68.18M,-1.60%,4713,25.14M
600,SPRU,Spruce Power Holding Corporation,67.44M,1.57%,88258,71.22M
601,ASYS,"Amtech Systems, Inc.",67.12M,-,58063,116.68M
602,TYGO,"Tigo Energy, Inc.",66.17M,-12.17%,170029,-
603,ONDS,Ondas Holdings Inc.,62.76M,-1.12%,248541,11.21M
604,DPSI,"Decisionpoint Systems, Inc.",62.16M,1.50%,2829,109.57M
605,POET,POET Technologies Inc.,61.83M,-0.77%,21358,557.79K
606,STIX,"Semantix, Inc.",61.19M,-8.21%,5739,44.82M
607,QMCO,Quantum Corporation,59.88M,14.27%,940416,407.47M
608,CSLR,"Complete Solaria, Inc.",59.56M,-10.02%,61278,171.96M
609,RCAT,"Red Cat Holdings, Inc.",58.59M,-5.06%,557930,10.99M
610,KPLT,"Katapult Holdings, Inc.",57.44M,4.82%,25045,214.34M
611,AIRG,"Airgain, Inc.",56.93M,0.56%,28761,56.04M
612,EBON,Ebang International Holdings Inc.,56.84M,14.21%,68957,11.35M
613,GRRR,Gorilla Technology Group Inc.,56.19M,9.00%,893402,-
614,FTCI,"FTC Solar, Inc.",55.38M,-0.76%,2116658,127.00M
615,LPTH,"LightPath Technologies, Inc.",55.13M,3.45%,61823,32.49M
616,AKTS,"Akoustis Technologies, Inc.",54.97M,-4.23%,2869323,29.71M
617,KNW,"Know Labs, Inc.",53.52M,4.23%,55113,-
618,TACT,TransAct Technologies Incorporated,53.48M,-6.65%,43199,72.63M
619,KTCC,Key Tronic Corporation,53.38M,2.90%,28904,620.34M
620,MOBX,Mobix Labs Inc,53.20M,19.77%,453879,-
621,NVNI,Nvni Group Limited,52.95M,-3.65%,2452,23.54M
622,DZSI,DZS Inc.,52.62M,-,158264,389.46M
623,SWVL,Swvl Holdings Corp.,47.88M,5.53%,44699,21.87M
624,MOGO,Mogo Inc.,47.43M,-3.02%,61466,48.30M
625,AGMH,AGM Group Holdings Inc.,46.57M,-1.04%,41511,165.45M
626,DTST,Data Storage Corporation,46.17M,-4.90%,171678,24.74M
627,ISDR,Issuer Direct Corporation,44.87M,1.19%,17874,33.38M
628,SATX,Satixfy Communications Ltd.,44.57M,0.09%,13073,-
629,MNDO,MIND C.T.I. Ltd,44.56M,0.91%,70803,21.61M
630,CXAI,CXApp Inc.,43.96M,9.60%,6053140,-
631,BKTI,BK Technologies Corporation,42.33M,4.65%,13778,74.09M
632,MRT,"Marti Technologies, Inc.",42.26M,-1.99%,27882,34.47M
633,EGIO,"Edgio, Inc.",41.98M,7.25%,90123,379.92M
634,USIO,"Usio, Inc.",41.83M,3.77%,23966,81.93M
635,CREX,"Creative Realities, Inc.",41.32M,9.67%,40515,41.20M
636,CLRO,"ClearOne, Inc.",41.21M,-8.02%,566603,18.57M
637,JFU,9F Inc.,41.21M,-,4057,102.96M
638,REFR,Research Frontiers Incorporated,40.88M,-0.83%,32252,909.60K
639,INLX,"Intellinetics, Inc.",38.88M,-,5176,16.73M
640,HOLO,MicroCloud Hologram Inc.,38.74M,-3.02%,2753413,-
641,PALT,"Paltalk, Inc.",38.55M,-14.32%,363463,10.98M
642,CPTN,"Cepton, Inc.",38.51M,-4.33%,24550,9.68M
643,ARBB,ARB IOT Group Limited,37.54M,-5.48%,52410,51.47M
644,DGHI,Digihost Technology Inc.,37.30M,5.47%,136645,21.01M
645,DSWL,"Deswell Industries, Inc.",35.18M,-2.69%,4389,70.63M
646,AWRE,"Aware, Inc.",34.84M,3.75%,84501,18.24M
647,FCUV,Focus Universal Inc.,34.44M,-1.25%,65998,841.01K
648,NTWK,"NetSol Technologies, Inc.",34.29M,-,7385,56.78M
649,INSG,Inseego Corp.,34.22M,2.51%,86310,195.69M
650,FKWL,Franklin Wireless Corp.,34.06M,0.35%,32149,47.36M
651,LGL,"The LGL Group, Inc.",33.78M,0.48%,1790,-20.83M
652,IDN,"Intellicheck, Inc.",33.68M,4.02%,31822,18.28M
653,APCX,AppTech Payments Corp.,33.31M,0.63%,59877,471.00K
654,STRC,Sarcos Technology and Robotics Corporation,32.87M,12.60%,561092,6.15M
655,CASA,"Casa Systems, Inc.",32.81M,-9.69%,222827,249.79M
656,BTCM,BIT Mining Limited,32.67M,3.52%,54942,43.10M
657,ULY,Urgent.ly Inc.,32.44M,-22.08%,278877,-
658,LAES,SEALSQ Corp,32.12M,5.81%,891081,27.29M
659,DAIO,Data I/O Corporation,31.48M,0.86%,11432,28.46M
660,DUOT,"Duos Technologies Group, Inc.",31.38M,4.59%,19404,11.88M
661,MLGO,MicroAlgo Inc.,30.40M,-2.21%,1090377,-
662,FATH,Fathom Digital Manufacturing Corporation,30.02M,1.14%,479,139.34M
663,NSYS,Nortech Systems Incorporated,29.72M,-3.81%,1591,138.90M
664,EMKR,EMCORE Corporation,29.38M,-,475356,96.89M
665,RBT,"Rubicon Technologies, Inc.",28.69M,-7.15%,641540,692.91M
666,UMAC,"Unusual Machines, Inc.",28.60M,4.87%,42837,-
667,SONM,"Sonim Technologies, Inc.",28.42M,-2.58%,64278,104.32M
668,SQNS,Sequans Communications S.A.,27.82M,-4.11%,457038,33.62M
669,CPSH,CPS Technologies Corporation,26.72M,4.55%,26611,27.55M
670,SMSI,"Smith Micro Software, Inc.",26.71M,-4.76%,249607,40.86M
671,GETR,"Getaround, Inc.",26.55M,1.75%,491631,68.37M
672,TRT,Trio-Tech International,26.05M,5.48%,18048,41.09M
673,CLPS,CLPS Incorporation,26.00M,-0.49%,1509,145.37M
674,NXPL,NextPlat Corp,25.84M,-,8556,23.75M
675,MSAI,MultiSensor AI Holdings Inc.,25.20M,9.48%,188603,11.08M
676,ANY,Sphere 3D Corp.,24.83M,5.07%,799781,21.91M
677,PRST,"Presto Automation, Inc.",24.60M,-7.26%,9117912,21.20M
678,WKEY,WISeKey International Holding AG,24.58M,0.40%,8357,28.08M
679,UTSI,UTStarcom Holdings Corp.,24.43M,-4.03%,3985,13.07M
680,WYY,WidePoint Corporation,23.97M,2.65%,14961,101.11M
681,KOSS,Koss Corporation,23.04M,0.40%,10156,13.21M
682,FTFT,Future FinTech Group Inc.,22.78M,8.11%,324384,31.99M
683,KULR,"KULR Technology Group, Inc.",22.64M,-9.12%,5153883,9.31M
684,HKIT,Hitek Global Inc.,22.64M,-7.10%,100041,6.43M
685,RVYL,Ryvyl Inc.,22.59M,-3.68%,21300,54.04M
686,OCC,Optical Cable Corporation,22.54M,-2.38%,3820,68.74M
687,SGMA,"SigmaTron International, Inc.",21.73M,10.37%,67152,399.71M
688,VRAR,"The Glimpse Group, Inc.",21.51M,-4.69%,93738,11.76M
689,HTCR,"HeartCore Enterprises, Inc.",21.05M,-6.73%,83534,20.52M
690,MRDB,MariaDB plc,20.66M,-0.37%,32101,53.92M
691,BMTX,"BM Technologies, Inc.",20.53M,-5.71%,7703,56.90M
692,VHC,VirnetX Holding Corp,20.52M,5.00%,29030,12.00K
693,SYNX,Silynxcom Ltd.,20.21M,3.49%,2829,7.26M
694,DTSS,Datasea Inc.,20.13M,-,937,23.68M
695,VIAO,VIA optronics AG,19.84M,3.83%,621,210.00M
696,NEON,Neonode Inc.,19.28M,-0.79%,13939,4.45M
697,SPI,"SPI Energy Co., Ltd.",19.27M,-0.02%,32199,209.89M
698,TAIT,Taitron Components Incorporated,19.08M,-2.19%,16209,6.92M
699,JG,Aurora Mobile Limited,18.55M,-4.32%,5109,40.94M
700,MINM,"Minim, Inc.",18.32M,-11.89%,365996,35.27M
701,AMPG,"AmpliTech Group, Inc.",17.73M,0.55%,5105,15.85M
702,SOS,SOS Limited,17.54M,5.00%,1016242,217.08M
703,CTM,"Castellum, Inc.",16.18M,-6.67%,124137,44.18M
704,XELA,"Exela Technologies, Inc.",16.10M,22.22%,656332,1.07B
705,SPPL,SIMPPLE LTD.,16.06M,0.10%,347090,4.87M
706,TSRI,"TSR, Inc.",15.91M,-5.24%,726,93.37M
707,BOSC,B.O.S. Better Online Solutions Ltd.,15.48M,-0.99%,6877,44.62M
708,CISO,CISO Global Inc,14.90M,12.40%,187978,58.06M
709,ELSE,"Electro-Sensors, Inc.",14.36M,-5.73%,3540,8.35M
710,MVLA,Movella Holdings Inc.,14.07M,14.65%,4662069,57.99M
711,SVRE,SaverOne 2014 Ltd,13.85M,-1.53%,30560,2.29M
712,TURB,"Turbo Energy, S.A.",13.72M,5.51%,4856,33.92M
713,AHI,Advanced Human Imaging Limited,13.11M,-3.23%,12201,2.79M
714,CYN,Cyngn Inc.,12.99M,1.33%,2064701,1.49M
715,MTBL,"Moatable, Inc.",12.39M,-0.62%,13961,50.81M
716,MMAT,Meta Materials Inc.,12.11M,2.66%,253315,7.09M
717,CAUD,Collective Audience Inc.,12.00M,-2.15%,88904,28.63M
718,OLB,"The OLB Group, Inc.",11.94M,0.77%,8235,31.62M
719,WRNT,Warrantee Inc.,11.68M,-9.57%,74894,1.63M
720,BNZI,"Banzai International, Inc.",11.47M,-5.32%,696573,7.70M
721,MSN,Emerson Radio Corp.,10.95M,1.79%,1757,8.74M
722,BLIN,"Bridgeline Digital, Inc.",10.78M,0.99%,22207,15.56M
723,MTEK,Maris-Tech Ltd.,10.64M,-,14008,2.01M
724,WATT,Energous Corporation,10.57M,-8.29%,111099,561.71K
725,SGE,"Strong Global Entertainment, Inc.",10.56M,-7.75%,4176,50.13M
726,HUBC,HUB Cyber Security (Israel) Ltd.,10.52M,-,76282,73.04M
727,XTIA,Inpixon,10.24M,-4.33%,362450,12.46M
728,LEDS,SemiLEDs Corporation,9.71M,1.36%,22110,5.93M
729,SGN,Signing Day Sports Inc.,9.54M,-11.84%,63934,222.22K
