Outlier_indeksler
2049
2
2054
7
2057
13
29
31
32
2079
36
53
56
2108
62
2112
66
2115
2117
2118
75
2123
78
2128
81
82
2136
2145
102
2151
105
2154
108
2162
115
2166
2168
2170
126
2183
139
2195
2204
2214
171
172
175
2227
2235
2236
191
2258
2260
212
2266
226
232
2282
251
2301
258
2311
2322
2339
295
296
307
2360
2373
329
2377
2395
2398
2411
366
371
2429
2430
2432
2435
2439
394
2443
413
2464
426
427
431
2480
2481
434
433
439
2487
449
455
461
466
2517
470
2520
2522
477
2527
484
2534
490
2541
496
2547
2555
508
512
2560
2565
2566
2584
2586
538
557
2605
561
569
573
2622
2624
577
580
2635
593
2647
600
604
606
2655
2656
611
613
2667
620
621
624
2672
634
2688
2698
2700
2707
2710
673
674
2725
680
681
2732
2738
2741
2742
2744
2748
702
2771
725
2774
730
2778
2783
746
2796
749
2799
751
2804
756
2809
2810
768
776
777
2827
786
2838
793
2846
2847
804
2860
2866
821
2875
828
830
834
2882
838
846
2899
866
868
869
870
2926
2930
2931
2934
2938
900
904
908
2966
2981
935
939
942
957
962
974
989
992
1008
1011
1020
1031
1035
1049
1054
1055
1065
1082
1084
1093
1101
1106
1109
1113
1116
1122
1126
1134
1135
1140
1156
1158
1161
1170
1176
1181
1191
1194
1200
1208
1215
1219
1223
1235
1237
1239
1247
1252
1256
1275
1281
1298
1301
1306
1310
1311
1316
1318
1344
1362
1364
1365
1373
1380
1383
1393
1398
1402
1408
1410
1412
1433
1437
1456
1459
1464
1471
1473
1481
1482
1485
1491
1497
1519
1521
1530
1550
1560
1562
1565
1573
1581
1583
1584
1601
1603
1604
1608
1609
1618
1622
1624
1629
1639
1643
1650
1656
1658
1660
1664
1671
1676
1690
1691
1698
1708
1720
1723
1730
1739
1743
1745
1746
1750
1751
1753
1755
1764
1766
1773
1778
1782
1798
1799
1802
1826
1837
1840
1846
1848
1857
1867
1873
1874
1877
1880
1881
1887
1899
1915
1932
1937
1940
1961
1965
1970
1974
1979
1983
2001
2006
2010
2012
2013
2015
2029
2032
